order_id,order_date,demand_level,unit_price,quantity,total_order_value,margin_percent,cancellation_reason,ai_cancel_flag,recoverable_flag,intervention_attempted_by_navedas,intervention_success,recovery_rate_flag,revenue_lost_before_ai_only,revenue_prevented_by_navedas,avoidable_revenue_loss_after_navedas,profit_lost_before_ai_only,profit_lost_after_navedas,margin_saved_after_navedas,intervention_cost,net_profit_impact_due_to_navedas,intervention_failure_reason,customer_state,payment_auth_status,shopify_id,governance_tier,refund_type,month
ORD-800014,2025-05-10,High,2420.0,3.0,7260.0,0.45071788004536106,Vendor Split Possible,1,1,1,1,1,7260.0,7260.0,0.0,3272.2118091293214,0.0,3272.2118091293214,25.0,3247.2118091293214,None,MO,Pending,#800014,Human,Split Fulfillment,2025-05
ORD-800015,2025-05-22,Medium,2295.0,4.0,9180.0,0.37936812679345966,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,OH,Authorized,#800015,None,N/A,2025-05
ORD-800016,2025-04-03,Low,2951.0,1.0,2951.0,0.50463566189089,Stock Sync Delay,1,1,1,1,1,2951.0,2951.0,0.0,1489.1798382400166,0.0,1489.1798382400166,25.0,1464.1798382400166,None,IL,Pending,#800016,Human,Partial,2025-04
ORD-800017,2025-01-24,Low,2471.0,3.0,7413.0,0.4353528809648375,Vendor Split Possible,1,1,1,1,1,7413.0,7413.0,0.0,3227.2709065923405,0.0,3227.2709065923405,25.0,3202.2709065923405,None,FL,Pending,#800017,Human,Split Fulfillment,2025-01
ORD-800018,2025-06-01,Medium,2857.0,4.0,11428.0,0.32693263024995595,AI Logic Gap - SKU Mapping,1,1,1,1,1,11428.0,11428.0,0.0,3736.1860984964965,0.0,3736.1860984964965,25.0,3711.1860984964965,None,MA,Pending,#800018,Human,Partial,2025-06
ORD-800019,2025-03-23,Low,1439.0,3.0,4317.0,0.206893023759522,AI Logic Gap - SKU Mapping,1,0,0,0,0,4317.0,0.0,0.0,893.1571835698566,893.1571835698566,0.0,0.0,0.0,Not Recoverable,MI,Pending,#800019,None,N/A,2025-03
ORD-800020,2025-04-01,Low,749.0,4.0,2996.0,0.22070657627418805,Stock Sync Delay,1,1,1,1,1,2996.0,2996.0,0.0,661.2369025174673,0.0,661.2369025174673,15.0,646.2369025174673,None,IN,Pending,#800020,Auto,Partial,2025-04
ORD-800021,2025-03-08,Low,860.0,2.0,1720.0,0.3231293915746252,Stock Sync Delay,1,1,1,0,0,1720.0,0.0,1720.0,555.7825535083554,555.7825535083554,0.0,15.0,-15.0,Late Detection,IN,Pending,#800021,Auto,Partial,2025-03
ORD-800022,2025-02-02,Low,2161.0,3.0,6483.0,0.36173686381953907,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,NJ,Authorized,#800022,None,N/A,2025-02
ORD-800023,2025-06-16,Medium,1884.0,2.0,3768.0,0.2584048918279488,Vendor Split Possible,1,1,1,1,1,3768.0,3768.0,0.0,973.669632407711,0.0,973.669632407711,25.0,948.669632407711,None,IL,Pending,#800023,Human,Split Fulfillment,2025-06
ORD-800024,2025-05-21,High,316.0,4.0,1264.0,0.26626490724792123,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,NY,Authorized,#800024,None,N/A,2025-05
ORD-800025,2025-04-26,High,755.0,1.0,755.0,0.28057397557276775,AI Logic Gap - SKU Mapping,1,1,1,1,1,755.0,755.0,0.0,211.83335155743964,0.0,211.83335155743964,15.0,196.83335155743964,None,WI,Pending,#800025,Auto,Partial,2025-04
ORD-800026,2025-03-14,High,3388.0,2.0,6776.0,0.4731796688516955,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,OH,Authorized,#800026,None,N/A,2025-03
ORD-800027,2025-05-29,High,2555.0,1.0,2555.0,0.46995074433312,Payment Expired,1,0,0,0,0,2555.0,0.0,0.0,1200.7241517711216,1200.7241517711216,0.0,0.0,0.0,Not Recoverable,CA,Expired,#800027,None,N/A,2025-05
ORD-800028,2025-04-09,High,2654.0,3.0,7962.0,0.3340286448948226,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,GA,Authorized,#800028,None,N/A,2025-04
ORD-800029,2025-03-21,High,729.0,1.0,729.0,0.2603275335545385,Stock Sync Delay,1,1,1,1,1,729.0,729.0,0.0,189.7787719612586,0.0,189.7787719612586,15.0,174.7787719612586,None,IN,Pending,#800029,Auto,Partial,2025-03
ORD-800030,2025-03-23,Medium,271.0,2.0,542.0,0.23881793477221425,Payment Expired,1,1,1,1,1,542.0,542.0,0.0,129.43932064654012,0.0,129.43932064654012,15.0,114.43932064654012,None,TX,Expired,#800030,Auto,Partial,2025-03
ORD-800031,2025-02-10,High,1054.0,4.0,4216.0,0.23049525921651065,Stock Sync Delay,1,0,0,0,0,4216.0,0.0,0.0,971.7680128568089,971.7680128568089,0.0,0.0,0.0,Not Recoverable,AZ,Pending,#800031,None,N/A,2025-02
ORD-800032,2025-01-17,High,3006.0,2.0,6012.0,0.33694773781478027,Payment Expired,1,1,1,1,1,6012.0,6012.0,0.0,2025.729799742459,0.0,2025.729799742459,25.0,2000.729799742459,None,NC,Expired,#800032,Human,Partial,2025-01
ORD-800033,2025-04-10,High,1797.0,1.0,1797.0,0.2159398516623918,Payment Expired,1,1,1,1,1,1797.0,1797.0,0.0,388.04391343731805,0.0,388.04391343731805,15.0,373.04391343731805,None,MD,Expired,#800033,Auto,Partial,2025-04
ORD-800034,2025-06-09,High,2756.0,1.0,2756.0,0.3167722629942173,Vendor Split Possible,1,1,1,1,1,2756.0,2756.0,0.0,873.0243568120628,0.0,873.0243568120628,15.0,858.0243568120628,None,NC,Pending,#800034,Auto,Split Fulfillment,2025-06
ORD-800035,2025-01-12,Medium,1729.0,1.0,1729.0,0.5365366348893981,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,NJ,Authorized,#800035,None,N/A,2025-01
ORD-800036,2025-06-04,Low,1741.0,4.0,6964.0,0.37762661546351356,Stock Sync Delay,1,1,1,1,1,6964.0,6964.0,0.0,2629.7917500879084,0.0,2629.7917500879084,25.0,2604.7917500879084,None,MI,Pending,#800036,Human,Partial,2025-06
ORD-800037,2025-05-29,Medium,2122.0,3.0,6366.0,0.4879256298923162,Stock Sync Delay,1,1,1,1,1,6366.0,6366.0,0.0,3106.134559894485,0.0,3106.134559894485,25.0,3081.134559894485,None,AZ,Pending,#800037,Human,Partial,2025-05
ORD-800038,2025-02-19,Medium,3358.0,4.0,13432.0,0.24524308106338968,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,TX,Authorized,#800038,None,N/A,2025-02
ORD-800039,2025-04-24,Low,1559.0,1.0,1559.0,0.2938275738433967,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,CA,Authorized,#800039,None,N/A,2025-04
ORD-800040,2025-01-30,Medium,2105.0,2.0,4210.0,0.5312912555904031,Stock Sync Delay,1,0,0,0,0,4210.0,0.0,0.0,2236.7361860355973,2236.7361860355973,0.0,0.0,0.0,Not Recoverable,VA,Pending,#800040,None,N/A,2025-01
ORD-800041,2025-05-17,High,3222.0,1.0,3222.0,0.3342431639269083,Stock Sync Delay,1,1,1,1,1,3222.0,3222.0,0.0,1076.9314741724984,0.0,1076.9314741724984,25.0,1051.9314741724984,None,GA,Pending,#800041,Human,Partial,2025-05
ORD-800042,2025-05-07,High,1334.0,2.0,2668.0,0.42694214495691285,Stock Sync Delay,1,1,1,1,1,2668.0,2668.0,0.0,1139.0816427450434,0.0,1139.0816427450434,25.0,1114.0816427450434,None,FL,Pending,#800042,Human,Partial,2025-05
ORD-800043,2025-03-05,Medium,2947.0,3.0,8841.0,0.5416443727069064,Payment Expired,1,1,1,1,1,8841.0,8841.0,0.0,4788.677899101759,0.0,4788.677899101759,25.0,4763.677899101759,None,TN,Expired,#800043,Human,Partial,2025-03
ORD-800044,2025-01-13,Medium,1895.0,4.0,7580.0,0.39277571471575745,Stock Sync Delay,1,1,1,1,1,7580.0,7580.0,0.0,2977.2399175454416,0.0,2977.2399175454416,25.0,2952.2399175454416,None,MA,Pending,#800044,Human,Partial,2025-01
ORD-800045,2025-06-24,Low,3082.0,2.0,6164.0,0.3068710822300576,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,NY,Authorized,#800045,None,N/A,2025-06
ORD-800046,2025-03-22,High,1663.0,4.0,6652.0,0.3861819595832218,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,FL,Authorized,#800046,None,N/A,2025-03
ORD-800047,2025-06-10,Low,2221.0,3.0,6663.0,0.21912301976580079,AI Logic Gap - SKU Mapping,1,0,0,0,0,6663.0,0.0,0.0,1460.0166806995305,1460.0166806995305,0.0,0.0,0.0,Not Recoverable,TN,Pending,#800047,None,N/A,2025-06
ORD-800048,2025-05-03,Medium,1165.0,2.0,2330.0,0.23932945593244193,Payment Expired,1,1,1,0,0,2330.0,0.0,2330.0,557.6376323225896,557.6376323225896,0.0,15.0,-15.0,Vendor SLA Delay,MI,Expired,#800048,Auto,Partial,2025-05
ORD-800049,2025-05-21,Low,2240.0,4.0,8960.0,0.20250988676829448,Payment Expired,1,1,1,1,1,8960.0,8960.0,0.0,1814.4885854439185,0.0,1814.4885854439185,25.0,1789.4885854439185,None,OH,Expired,#800049,Human,Partial,2025-05
ORD-800050,2025-05-17,Medium,1175.0,2.0,2350.0,0.5094735145477516,Vendor Split Possible,1,1,1,1,1,2350.0,2350.0,0.0,1197.2627591872163,0.0,1197.2627591872163,25.0,1172.2627591872163,None,NJ,Pending,#800050,Human,Split Fulfillment,2025-05
ORD-800051,2025-02-05,High,2151.0,1.0,2151.0,0.4349481501148585,AI Logic Gap - SKU Mapping,1,1,1,1,1,2151.0,2151.0,0.0,935.5734708970606,0.0,935.5734708970606,25.0,910.5734708970606,None,GA,Pending,#800051,Human,Partial,2025-02
ORD-800052,2025-03-07,Medium,2771.0,4.0,11084.0,0.30441541779646186,AI Logic Gap - SKU Mapping,1,1,1,1,1,11084.0,11084.0,0.0,3374.1404908559834,0.0,3374.1404908559834,25.0,3349.1404908559834,None,TX,Pending,#800052,Human,Partial,2025-03
ORD-800053,2025-03-26,High,1550.0,4.0,6200.0,0.27740649672255663,Stock Sync Delay,1,1,1,1,1,6200.0,6200.0,0.0,1719.920279679851,0.0,1719.920279679851,25.0,1694.920279679851,None,WA,Pending,#800053,Human,Partial,2025-03
ORD-800054,2025-03-31,High,1530.0,1.0,1530.0,0.439076810405223,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,AZ,Authorized,#800054,None,N/A,2025-03
ORD-800055,2025-01-08,Low,1161.0,4.0,4644.0,0.521836222674849,Stock Sync Delay,1,1,1,1,1,4644.0,4644.0,0.0,2423.4074181019987,0.0,2423.4074181019987,25.0,2398.4074181019987,None,TX,Pending,#800055,Human,Partial,2025-01
ORD-800056,2025-04-09,Medium,2570.0,4.0,10280.0,0.3046986818682388,AI Logic Gap - SKU Mapping,1,0,0,0,0,10280.0,0.0,0.0,3132.3024496054945,3132.3024496054945,0.0,0.0,0.0,Not Recoverable,IL,Pending,#800056,None,N/A,2025-04
ORD-800057,2025-01-28,High,2092.0,4.0,8368.0,0.31254568828537366,Vendor Split Possible,1,0,0,0,0,8368.0,0.0,0.0,2615.382319572007,2615.382319572007,0.0,0.0,0.0,Not Recoverable,WA,Pending,#800057,None,N/A,2025-01
ORD-800058,2025-05-14,Medium,1831.0,2.0,3662.0,0.4989842538178206,Vendor Split Possible,1,1,1,1,1,3662.0,3662.0,0.0,1827.2803374808589,0.0,1827.2803374808589,25.0,1802.2803374808589,None,TN,Pending,#800058,Human,Split Fulfillment,2025-05
ORD-800059,2025-05-03,Medium,138.0,3.0,414.0,0.5126815355593133,AI Logic Gap - SKU Mapping,1,1,1,0,0,414.0,0.0,414.0,212.2501557215557,212.2501557215557,0.0,25.0,-25.0,Late Detection,MD,Pending,#800059,Human,Partial,2025-05
ORD-800060,2025-06-16,High,429.0,3.0,1287.0,0.5199127983904226,Payment Expired,1,1,1,1,1,1287.0,1287.0,0.0,669.1277715284739,0.0,669.1277715284739,25.0,644.1277715284739,None,WA,Expired,#800060,Human,Partial,2025-06
ORD-800061,2025-05-15,High,75.0,3.0,225.0,0.3026039728023432,AI Logic Gap - SKU Mapping,1,0,0,0,0,225.0,0.0,0.0,68.08589388052722,68.08589388052722,0.0,0.0,0.0,Not Recoverable,TX,Pending,#800061,None,N/A,2025-05
ORD-800062,2025-03-07,Low,2983.0,3.0,8949.0,0.24210939865872214,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,GA,Authorized,#800062,None,N/A,2025-03
ORD-800063,2025-06-24,High,2988.0,3.0,8964.0,0.35399915019948974,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,PA,Authorized,#800063,None,N/A,2025-06
ORD-800064,2025-03-15,Low,284.0,3.0,852.0,0.30351770279941337,Vendor Split Possible,1,1,1,1,1,852.0,852.0,0.0,258.5970827851002,0.0,258.5970827851002,15.0,243.5970827851002,None,WI,Pending,#800064,Auto,Split Fulfillment,2025-03
ORD-800065,2025-02-28,High,210.0,3.0,630.0,0.5093533333841426,Stock Sync Delay,1,1,1,1,1,630.0,630.0,0.0,320.8926000320098,0.0,320.8926000320098,25.0,295.8926000320098,None,CA,Pending,#800065,Human,Partial,2025-02
ORD-800066,2025-06-12,Medium,2745.0,3.0,8235.0,0.21282222963124073,AI Logic Gap - SKU Mapping,1,1,1,1,1,8235.0,8235.0,0.0,1752.5910610132673,0.0,1752.5910610132673,25.0,1727.5910610132673,None,GA,Pending,#800066,Human,Partial,2025-06
ORD-800067,2025-03-08,Medium,1860.0,1.0,1860.0,0.42185816437269535,Vendor Split Possible,1,1,1,1,1,1860.0,1860.0,0.0,784.6561857332133,0.0,784.6561857332133,25.0,759.6561857332133,None,NJ,Pending,#800067,Human,Split Fulfillment,2025-03
ORD-800068,2025-01-14,High,1115.0,1.0,1115.0,0.5171634780118399,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,PA,Authorized,#800068,None,N/A,2025-01
ORD-800069,2025-03-26,Medium,2171.0,4.0,8684.0,0.5418346283821232,Payment Expired,1,1,1,1,1,8684.0,8684.0,0.0,4705.291912870357,0.0,4705.291912870357,25.0,4680.291912870357,None,MA,Expired,#800069,Human,Partial,2025-03
ORD-800070,2025-05-24,Medium,865.0,4.0,3460.0,0.42754570975431516,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,NY,Authorized,#800070,None,N/A,2025-05
ORD-800071,2025-02-04,Medium,733.0,3.0,2199.0,0.532473034957833,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,MD,Authorized,#800071,None,N/A,2025-02
ORD-800072,2025-03-25,Low,1317.0,1.0,1317.0,0.22648081191877356,Stock Sync Delay,1,1,1,1,1,1317.0,1317.0,0.0,298.2752292970248,0.0,298.2752292970248,15.0,283.2752292970248,None,NC,Pending,#800072,Auto,Partial,2025-03
ORD-800073,2025-01-24,Low,3140.0,4.0,12560.0,0.32574742109868393,Payment Expired,1,0,0,0,0,12560.0,0.0,0.0,4091.38760899947,4091.38760899947,0.0,0.0,0.0,Not Recoverable,GA,Expired,#800073,None,N/A,2025-01
ORD-800074,2025-05-04,High,2696.0,1.0,2696.0,0.2030501440643568,AI Logic Gap - SKU Mapping,1,1,1,1,1,2696.0,2696.0,0.0,547.423188397506,0.0,547.423188397506,15.0,532.423188397506,None,MD,Pending,#800074,Auto,Partial,2025-05
ORD-800075,2025-03-27,Medium,705.0,2.0,1410.0,0.5434143202667865,Vendor Split Possible,1,1,1,1,1,1410.0,1410.0,0.0,766.2141915761689,0.0,766.2141915761689,25.0,741.2141915761689,None,NY,Pending,#800075,Human,Split Fulfillment,2025-03
ORD-800076,2025-03-01,High,1987.0,2.0,3974.0,0.5159542675683448,Payment Expired,1,0,0,0,0,3974.0,0.0,0.0,2050.4022593166023,2050.4022593166023,0.0,0.0,0.0,Not Recoverable,MI,Expired,#800076,None,N/A,2025-03
ORD-800077,2025-02-10,High,3101.0,1.0,3101.0,0.2098183946868705,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,CA,Authorized,#800077,None,N/A,2025-02
ORD-800078,2025-04-12,High,3333.0,4.0,13332.0,0.2063464276609181,AI Logic Gap - SKU Mapping,1,1,1,1,1,13332.0,13332.0,0.0,2751.01057357536,0.0,2751.01057357536,25.0,2726.01057357536,None,NJ,Pending,#800078,Human,Partial,2025-04
ORD-800079,2025-05-01,Medium,2682.0,3.0,8046.0,0.32843932293722816,AI Logic Gap - SKU Mapping,1,1,1,0,0,8046.0,0.0,8046.0,2642.6227923529377,2642.6227923529377,0.0,25.0,-25.0,Customer Abandoned,OH,Pending,#800079,Human,Partial,2025-05
ORD-800080,2025-06-19,Medium,494.0,2.0,988.0,0.2904882883768156,Stock Sync Delay,1,1,1,1,1,988.0,988.0,0.0,287.0024289162938,0.0,287.0024289162938,15.0,272.0024289162938,None,MA,Pending,#800080,Auto,Partial,2025-06
ORD-800081,2025-03-20,Medium,880.0,3.0,2640.0,0.4964262970348758,Stock Sync Delay,1,0,0,0,0,2640.0,0.0,0.0,1310.565424172072,1310.565424172072,0.0,0.0,0.0,Not Recoverable,NJ,Pending,#800081,None,N/A,2025-03
ORD-800082,2025-01-29,Low,804.0,1.0,804.0,0.25616954114515184,AI Logic Gap - SKU Mapping,1,1,1,0,0,804.0,0.0,804.0,205.96031108070207,205.96031108070207,0.0,15.0,-15.0,Late Detection,WA,Pending,#800082,Auto,Partial,2025-01
ORD-800083,2025-05-30,Medium,570.0,2.0,1140.0,0.4767273119453001,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,MD,Authorized,#800083,None,N/A,2025-05
ORD-800084,2025-04-24,High,654.0,3.0,1962.0,0.39406089499673214,Vendor Split Possible,1,1,1,1,1,1962.0,1962.0,0.0,773.1474759835885,0.0,773.1474759835885,15.0,758.1474759835885,None,WI,Pending,#800084,Auto,Split Fulfillment,2025-04
ORD-800085,2025-05-07,High,1141.0,2.0,2282.0,0.3320871199917458,Payment Expired,1,0,0,0,0,2282.0,0.0,0.0,757.8228078211639,757.8228078211639,0.0,0.0,0.0,Not Recoverable,IL,Expired,#800085,None,N/A,2025-05
ORD-800086,2025-01-18,Medium,1966.0,4.0,7864.0,0.2510019166066826,Payment Expired,1,0,0,0,0,7864.0,0.0,0.0,1973.8790721949517,1973.8790721949517,0.0,0.0,0.0,Not Recoverable,NJ,Expired,#800086,None,N/A,2025-01
ORD-800087,2025-02-26,High,1422.0,1.0,1422.0,0.549191957085885,Payment Expired,1,1,1,1,1,1422.0,1422.0,0.0,780.9509629761284,0.0,780.9509629761284,25.0,755.9509629761284,None,TN,Expired,#800087,Human,Partial,2025-02
ORD-800088,2025-05-19,High,1501.0,1.0,1501.0,0.4162951423225379,AI Logic Gap - SKU Mapping,1,1,1,1,1,1501.0,1501.0,0.0,624.8590086261294,0.0,624.8590086261294,25.0,599.8590086261294,None,NY,Pending,#800088,Human,Partial,2025-05
ORD-800089,2025-05-30,High,897.0,3.0,2691.0,0.353783781398798,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,MI,Authorized,#800089,None,N/A,2025-05
ORD-800090,2025-03-20,Medium,571.0,4.0,2284.0,0.3298946447934561,Payment Expired,1,1,1,1,1,2284.0,2284.0,0.0,753.4793687082537,0.0,753.4793687082537,15.0,738.4793687082537,None,VA,Expired,#800090,Auto,Partial,2025-03
ORD-800091,2025-05-25,Medium,3496.0,2.0,6992.0,0.5170048807207994,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,MO,Authorized,#800091,None,N/A,2025-05
ORD-800092,2025-06-01,Medium,2116.0,1.0,2116.0,0.48741713286676636,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,TX,Authorized,#800092,None,N/A,2025-06
ORD-800093,2025-03-11,Medium,842.0,4.0,3368.0,0.48391502592887836,Payment Expired,1,1,1,1,1,3368.0,3368.0,0.0,1629.8258073284624,0.0,1629.8258073284624,25.0,1604.8258073284624,None,MO,Expired,#800093,Human,Partial,2025-03
ORD-800094,2025-06-11,Low,2844.0,2.0,5688.0,0.41566946553683753,AI Logic Gap - SKU Mapping,1,0,0,0,0,5688.0,0.0,0.0,2364.327919973532,2364.327919973532,0.0,0.0,0.0,Not Recoverable,IL,Pending,#800094,None,N/A,2025-06
ORD-800095,2025-02-21,Low,2915.0,1.0,2915.0,0.5107848039435307,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,MO,Authorized,#800095,None,N/A,2025-02
ORD-800096,2025-02-13,Medium,3385.0,3.0,10155.0,0.30474743024272466,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,AZ,Authorized,#800096,None,N/A,2025-02
ORD-800097,2025-05-03,Medium,598.0,2.0,1196.0,0.4462971473071513,Payment Expired,1,0,0,0,0,1196.0,0.0,0.0,533.7713881793529,533.7713881793529,0.0,0.0,0.0,Not Recoverable,NC,Expired,#800097,None,N/A,2025-05
ORD-800098,2025-04-25,High,2257.0,4.0,9028.0,0.3415567098371624,Stock Sync Delay,1,1,1,1,1,9028.0,9028.0,0.0,3083.573976409902,0.0,3083.573976409902,25.0,3058.573976409902,None,NY,Pending,#800098,Human,Partial,2025-04
ORD-800099,2025-01-26,Low,3431.0,2.0,6862.0,0.4099995829958923,AI Logic Gap - SKU Mapping,1,1,1,1,1,6862.0,6862.0,0.0,2813.417138517813,0.0,2813.417138517813,25.0,2788.417138517813,None,OH,Pending,#800099,Human,Partial,2025-01
ORD-800100,2025-05-30,Medium,2833.0,3.0,8499.0,0.5493535502144425,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,MA,Authorized,#800100,None,N/A,2025-05
ORD-800101,2025-02-05,High,828.0,3.0,2484.0,0.5445836732363615,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,IL,Authorized,#800101,None,N/A,2025-02
ORD-800102,2025-05-25,Medium,3130.0,1.0,3130.0,0.37941665576360695,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,AZ,Authorized,#800102,None,N/A,2025-05
ORD-800103,2025-01-02,Medium,1504.0,2.0,3008.0,0.40085220825768864,AI Logic Gap - SKU Mapping,1,1,1,1,1,3008.0,3008.0,0.0,1205.7634424391274,0.0,1205.7634424391274,25.0,1180.7634424391274,None,IL,Pending,#800103,Human,Partial,2025-01
ORD-800104,2025-05-24,Low,1736.0,1.0,1736.0,0.5140626191980554,Payment Expired,1,1,1,1,1,1736.0,1736.0,0.0,892.4127069278242,0.0,892.4127069278242,25.0,867.4127069278242,None,TX,Expired,#800104,Human,Partial,2025-05
ORD-800105,2025-05-22,High,1977.0,3.0,5931.0,0.5449724993798493,N/A,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,WA,Authorized,#800105,None,N/A,2025-05
